frame,t_s,t_b_s,a_p1_ok,a_p1_x_px,a_p1_y_px,a_p1_x_mm,a_p1_y_mm,a_p1_area,a_p2_ok,a_p2_x_px,a_p2_y_px,a_p2_x_mm,a_p2_y_mm,a_p2_area,b_p1_ok,b_p1_h_px,b_p1_z_px,b_p1_h_mm,b_p1_z_mm,b_p1_area,b_p2_ok,b_p2_h_px,b_p2_z_px,b_p2_h_mm,b_p2_z_mm,b_p2_area
290,4.507446,4.507446,1,819.283630,521.707153,88.367134,56.270824,110,1,871.698547,855.178101,94.020554,92.238678,364,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0
294,4.540771,4.540771,1,820.920654,519.270142,88.543701,56.007969,127,1,841.518433,859.100525,90.765358,92.661743,369,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0
296,4.574097,4.574097,1,820.971191,518.136169,88.549156,55.885662,117,1,810.672852,860.897827,87.438377,92.855598,376,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0
298,4.607544,4.607544,1,820.851318,515.322021,88.536217,55.582130,125,1,779.326050,860.329468,84.057350,92.794296,374,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0
302,4.640869,4.640869,1,819.541565,515.191345,88.394958,55.568035,116,1,748.142761,856.655701,80.693947,92.398048,382,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0
304,4.674194,4.674194,1,817.995056,515.813538,88.228149,55.635147,114,1,717.891174,850.487793,77.431038,91.732780,382,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0
306,4.707520,4.707520,1,818.536011,517.710144,88.286499,55.839714,119,1,688.336060,841.358765,74.243256,90.748131,380,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0
308,4.740845,4.740845,1,817.740417,517.014343,88.200684,55.764660,134,1,660.526611,830.077759,71.243752,89.531372,379,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0
310,4.774170,4.774170,1,818.325439,518.454590,88.263786,55.920010,116,1,634.289612,817.542114,68.413864,88.179298,374,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0
314,4.807495,4.807495,1,818.251648,518.870667,88.255829,55.964886,129,1,608.789185,802.285095,65.663406,86.533684,371,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0
316,4.840820,4.840820,1,817.359924,518.562927,88.159645,55.931694,138,1,585.317444,784.120972,63.131771,84.574524,376,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0
318,4.874146,4.874146,1,817.307373,517.715576,88.153976,55.840294,126,1,563.494202,763.206543,60.777935,82.318710,377,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0
322,4.907471,4.907471,1,817.235168,518.503845,88.146187,55.925320,131,1,543.386414,740.081299,58.609127,79.824440,375,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0
324,4.940918,4.940918,1,815.488586,519.749084,87.957802,56.059631,146,1,525.425964,714.934143,56.671928,77.112099,378,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0
326,4.974243,4.974243,1,813.367188,515.857788,87.728989,55.639915,132,1,510.334717,688.297302,55.044205,74.239075,373,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0
330,5.007568,5.007568,1,815.927368,513.682678,88.005127,55.405312,118,1,497.443726,659.846191,53.653793,71.170364,368,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0
332,5.040894,5.040894,1,817.556641,514.764404,88.180862,55.521988,133,1,486.953247,630.922180,52.522301,68.050652,372,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0
